PU53   B_3B_F1 (16:0/0)   B_4B_F1 (16:2/4)   B_3D_F1 (40:4/0)   B_4D_F1 (40:7/4)   GND                GND
PU54   B_3B_F2 (16:3/1)   B_4B_F2 (16:5/5)   B_3D_F2 (40:0/1)   B_4D_F2 (40:2/5)   GND                GND
PU55   B_3B_F3 (16:1/2)   B_4B_F3 (16:6/7)   B_3D_F3 (40:3/2)   B_4D_F3 (40:5/7)   GND                GND
PU56   B_3B_F4 (16:4/3)   B_4B_F4 (16:7/6)   B_3D_F4 (40:1/3)   B_4D_F4 (40:6/6)   GND                GND
PU57   B_3B_M1 (19:0/0)   B_4B_M1 (19:2/6)   B_3D_M1 (43:4/0)   B_4D_M1 (43:7/6)   GND                GND
PU58   B_3B_M2 (19:3/1)   B_4B_M2 (19:5/7)   B_3D_M2 (43:0/1)   B_4D_M2 (43:2/7)   GND                GND
PU59   B_3B_M3 (19:1/2)   B_4B_M3 (19:6/5)   B_3D_M3 (43:3/2)   B_4D_M3 (43:5/5)   GND                GND
PU60   B_3B_M4 (19:4/3)   B_4B_M4 (19:7/4)   B_3D_M4 (43:1/3)   B_4D_M4 (43:6/4)   GND                GND
PU61   B_3B_B1 (23:3/6)   B_4B_B1 (23:7/7)   B_3D_B1 (47:4/6)   B_4D_B1 (47:6/7)   GND                GND
PU62   GND                GND                GND                GND                GND                GND
